Motif_ID,Real_Score_Sum,Shuffled_Mean_Score,P_Value,Adj_P_Value
# FIMO (Find Individual Motif Occurrences): Version 5.5.7 compiled on Sep  9 2024 at 10:28:28,0.0,0.0,1.0,1.0
# The format of this file is described at https://meme-suite.org/meme/doc/fimo-output-format.html#tsv_results.,0.0,0.0,1.0,1.0
# fimo --oc /home/15712745/personal/TF_prediction_genomes/MEME/FIMO_folder/Shuffled_control/fimo_real_output_Arabidopsis_Cluster3 /home/15712745/personal/TF_prediction_genomes/TF_bindingsite_motifs/ALL_plant_motifs_JASPAR.meme /home/15712745/personal/Gene_selection/selected_upstream_sequences_cluster3.fasta,0.0,0.0,1.0,1.0
MA0001.3,7221.5981,6157.783952000001,0.009900990099009901,0.016203703703703703
MA0005.3,7191.4879,6183.974247999998,0.009900990099009901,0.016203703703703703
MA0008.4,10482.07692,11596.848462000002,0.9900990099009901,1.0
MA0034.2,1807.2830000000001,1664.350816000001,0.15841584158415842,0.23333333333333334
MA0054.1,4372.8436,5509.772983999999,1.0,1.0
MA0082.2,17342.9189,11629.610961,0.009900990099009901,0.016203703703703703
MA0096.1,1075.2733,1293.9553879999999,0.9405940594059405,1.0
MA0097.1,2025.24693,894.4382869000004,0.009900990099009901,0.016203703703703703
MA0110.4,8653.32,8279.407362,0.10891089108910891,0.16244725738396626
MA0121.2,1218.7356,1097.4110200000002,0.1485148514851485,0.2196652719665272
MA0123.1,1105.8762,711.329689,0.009900990099009901,0.016203703703703703
MA0128.1,4351.9294,1707.146301,0.009900990099009901,0.016203703703703703
MA0129.1,1457.778,2339.2557300000008,1.0,1.0
MA0548.3,12117.31901,7622.171699999999,0.009900990099009901,0.016203703703703703
MA0549.2,5776.3799,1516.8942680000007,0.009900990099009901,0.016203703703703703
MA0550.3,3252.5298900000003,1556.2041154000005,0.009900990099009901,0.016203703703703703
MA0551.2,6552.9713,1344.1656975999992,0.009900990099009901,0.016203703703703703
MA0553.1,1515.9075,1862.782668,1.0,1.0
MA0554.2,19189.21176,9042.8185017,0.009900990099009901,0.016203703703703703
MA0555.2,14171.98967,7343.169053999998,0.009900990099009901,0.016203703703703703
MA0556.2,14544.8747,6919.171097999999,0.009900990099009901,0.016203703703703703
MA0557.2,1950.5872,1198.0005119999998,0.009900990099009901,0.016203703703703703
MA0558.2,19574.35744,8474.521320600006,0.009900990099009901,0.016203703703703703
MA0559.1,36346.8891,7561.551074000001,0.009900990099009901,0.016203703703703703
MA0560.2,3318.3282,739.7677950000001,0.009900990099009901,0.016203703703703703
MA0561.1,6089.9922,1547.7004109999993,0.009900990099009901,0.016203703703703703
