motif_id,Real_Score_Sum,Shuffled_Mean_Score,P_Value,Adjusted_P,Score_Difference,Significant
MA1274.1,161149.58674,26072.525835600005,0.0099009900990099,0.0162037037037037,135077.0609044,True
MA1281.2,82048.83351,18704.541120200007,0.0099009900990099,0.0162037037037037,63344.292389799986,True
MA1267.2,74002.6254,19842.673497,0.0099009900990099,0.0162037037037037,54159.95190300001,True
MA1268.2,68494.77307,19096.289039200004,0.0099009900990099,0.0162037037037037,49398.48403079999,True
MA1278.2,50453.6799,15672.112123000004,0.0099009900990099,0.0162037037037037,34781.567777,True
MA1404.1,32869.5181421,553.1728929449996,0.0099009900990099,0.0162037037037037,32316.345249155,True
MA1373.1,36798.42961,7231.2105237,0.0099009900990099,0.0162037037037037,29567.2190863,True
MA1416.1,30778.62015,1873.3958715000003,0.0099009900990099,0.0162037037037037,28905.224278499998,True
MA0559.1,36346.8891,7561.551074000001,0.0099009900990099,0.0162037037037037,28785.338025999998,True
MA0940.1,39064.2996,12696.901811999998,0.0099009900990099,0.0162037037037037,26367.397788000002,True
MA1823.2,34272.216,9076.09912,0.0099009900990099,0.0162037037037037,25196.11688,True
MA1279.2,38387.9529,14592.752722000005,0.0099009900990099,0.0162037037037037,23795.200177999992,True
MA1270.2,35819.2841,14195.964156999997,0.0099009900990099,0.0162037037037037,21623.319943000002,True
MA1402.1,21157.5538252,-113.40589162300004,0.0099009900990099,0.0162037037037037,21270.959716823,True
MA1277.2,34759.6996,13720.009292999996,0.0099009900990099,0.0162037037037037,21039.690307000004,True
MA1159.2,27236.47206,10011.454549900003,0.0099009900990099,0.0162037037037037,17225.0175101,True
MA1273.2,24997.206,10262.311738999995,0.0099009900990099,0.0162037037037037,14734.894261000003,True
MA1160.2,21285.77259,6591.7197983,0.0099009900990099,0.0162037037037037,14694.0527917,True
MA2348.1,21085.11395,6504.287002199999,0.0099009900990099,0.0162037037037037,14580.8269478,True
MA1156.2,21780.63796,8688.6879754,0.0099009900990099,0.0162037037037037,13091.9499846,True
MA1371.2,19388.22582,6818.018924900001,0.0099009900990099,0.0162037037037037,12570.206895099998,True
MA0558.2,19574.35744,8474.521320600006,0.0099009900990099,0.0162037037037037,11099.836119399994,True
MA1379.1,37324.82177,26529.3939103,0.0099009900990099,0.0162037037037037,10795.427859700001,True
MA1380.1,37697.46328,26986.24971020001,0.0099009900990099,0.0162037037037037,10711.213569799995,True
MA1162.1,32738.21054,22519.898963599997,0.0099009900990099,0.0162037037037037,10218.311576400003,True
MA0554.2,19189.21176,9042.8185017,0.0099009900990099,0.0162037037037037,10146.393258299999,True
MA1814.2,19336.656,9221.74472,0.0099009900990099,0.0162037037037037,10114.911279999998,True
MA1161.1,36641.99888,26557.61725900001,0.0099009900990099,0.0162037037037037,10084.38162099999,True
MA1812.2,11274.1631,2058.911443000001,0.0099009900990099,0.0162037037037037,9215.251656999999,True
MA0563.2,13777.2601,5087.082289,0.0099009900990099,0.0162037037037037,8690.177811,True
MA1370.2,13398.01267,5352.661237100002,0.0099009900990099,0.0162037037037037,8045.351432899998,True
MA1374.2,13691.75746,5805.954433099999,0.0099009900990099,0.0162037037037037,7885.803026900002,True
MA0556.2,14544.8747,6919.171097999999,0.0099009900990099,0.0162037037037037,7625.703602000001,True
MA2104.1,14003.98018,6990.659763600001,0.0099009900990099,0.0162037037037037,7013.3204164,True
MA0555.2,14171.98967,7343.169053999998,0.0099009900990099,0.0162037037037037,6828.820616000003,True
MA1012.1,15839.9484,9377.954462400005,0.0099009900990099,0.0162037037037037,6461.993937599995,True
MA1682.2,23871.94859,17415.362678199996,0.0099009900990099,0.0162037037037037,6456.585911800004,True
MA2380.1,18567.2806,12425.922274000002,0.0099009900990099,0.0162037037037037,6141.358325999996,True
MA1338.3,7565.04932,1627.1972956999994,0.0099009900990099,0.0162037037037037,5937.8520243,True
MA0082.2,17342.9189,11629.610961,0.0099009900990099,0.0162037037037037,5713.307939,True
MA2007.2,8874.445600000001,3192.216821000001,0.0099009900990099,0.0162037037037037,5682.228779,True
MA1415.2,9554.27185,3922.6771459,0.0099009900990099,0.0162037037037037,5631.594704099999,True
MA1158.2,11605.95388,6218.753334700004,0.0099009900990099,0.0162037037037037,5387.200545299995,True
MA2396.1,11667.9693,6341.7268556,0.0099009900990099,0.0162037037037037,5326.242444400001,True
MA2049.2,10813.9692,5497.166075999999,0.0099009900990099,0.0162037037037037,5316.803124000001,True
MA1677.2,10770.1755,5474.904015000003,0.0099009900990099,0.0162037037037037,5295.271484999997,True
MA1157.2,11591.20064,6303.0905715,0.0099009900990099,0.0162037037037037,5288.110068499999,True
MA1033.1,6861.95646,1606.2052486000002,0.0099009900990099,0.0162037037037037,5255.7512114,True
MA2401.1,6861.44244,1605.8021149,0.0099009900990099,0.0162037037037037,5255.640325099999,True
MA0551.2,6552.9713,1344.1656975999992,0.0099009900990099,0.0162037037037037,5208.805602400001,True
MA2043.2,10544.1435,5360.003055,0.0099009900990099,0.0162037037037037,5184.140445,True
MA1280.2,15458.0118,10313.280600000004,0.0099009900990099,0.0162037037037037,5144.7311999999965,True
MA1205.1,15182.74348,10086.373514400002,0.0099009900990099,0.0162037037037037,5096.369965599997,True
MA2087.1,6496.7243,1421.2220550000004,0.0099009900990099,0.0162037037037037,5075.502245,True
MA1225.1,5714.18324,691.752771,0.0099009900990099,0.0162037037037037,5022.430469,True
MA0570.3,6950.16084,1940.880331,0.0099009900990099,0.0162037037037037,5009.280508999999,True
MA1276.2,14927.0,9959.0,0.0099009900990099,0.0162037037037037,4968.0,True
MA0931.2,6841.6766,1919.409626,0.0099009900990099,0.0162037037037037,4922.266974,True
MA2075.1,6769.347,1848.874448,0.0099009900990099,0.0162037037037037,4920.472551999999,True
MA2025.2,8822.2585,3914.987110999999,0.0099009900990099,0.0162037037037037,4907.271389000001,True
MA0941.2,6722.8886,1831.2609899999995,0.0099009900990099,0.0162037037037037,4891.6276100000005,True
MA0968.3,6758.59297,1952.3550607,0.0099009900990099,0.0162037037037037,4806.2379093,True
MA1660.2,9471.73686,4676.366482099999,0.0099009900990099,0.0162037037037037,4795.370377900002,True
MA1257.2,5502.6214,710.4664083999998,0.0099009900990099,0.0162037037037037,4792.1549916,True
MA1344.2,6872.39111,2091.9690429,0.0099009900990099,0.0162037037037037,4780.422067099999,True
MA1353.2,9498.56395,4800.403461800001,0.0099009900990099,0.0162037037037037,4698.160488199998,True
MA0973.2,13992.1804,9335.306799999998,0.0099009900990099,0.0162037037037037,4656.873600000001,True
MA1753.2,5445.40875,812.5536211999997,0.0099009900990099,0.0162037037037037,4632.8551288,True
MA1087.3,10931.76771,6306.7555368,0.0099009900990099,0.0162037037037037,4625.0121732,True
MA2413.1,6080.08613,1504.6664523999998,0.0099009900990099,0.0162037037037037,4575.4196776,True
MA0561.1,6089.9922,1547.7004109999991,0.0099009900990099,0.0162037037037037,4542.291789000001,True
MA0548.3,12117.31901,7622.171699999999,0.0099009900990099,0.0162037037037037,4495.14731,True
MA1349.2,6015.08948,1596.2776124000002,0.0099009900990099,0.0162037037037037,4418.8118675999995,True
MA1309.1,9217.846,4947.390014000001,0.0099009900990099,0.0162037037037037,4270.455985999998,True
MA0549.2,5776.3799,1516.8942680000007,0.0099009900990099,0.0162037037037037,4259.485631999999,True
MA1299.2,8736.63394,4491.132573700002,0.0099009900990099,0.0162037037037037,4245.501366299998,True
MA1364.2,5618.4455,1433.6053750000003,0.0099009900990099,0.0162037037037037,4184.840125,True
MA1250.2,5101.395,953.8058716999994,0.0099009900990099,0.0162037037037037,4147.589128300001,True
MA1316.2,9938.68951,5865.910292499999,0.0099009900990099,0.0162037037037037,4072.7792175000013,True
MA1304.2,10592.9207,6533.399393,0.0099009900990099,0.0162037037037037,4059.521307000001,True
MA1313.2,8312.60423,4291.6801645,0.0099009900990099,0.0162037037037037,4020.9240655000012,True
MA1222.1,5042.65131,1045.5979155999996,0.0099009900990099,0.0162037037037037,3997.053394400001,True
MA1094.3,9009.71647,5026.1195997,0.0099009900990099,0.0162037037037037,3983.596870299999,True
MA1226.2,4956.07701,990.2537167,0.0099009900990099,0.0162037037037037,3965.8232933,True
